precinct,biden_total,trump_total,total,trump_percent,biden_percent
1066,270.0,174.0,444.0,39.189189189189186,60.810810810810814
1067,874.0,1095.0,1969.0,55.61198577958355,44.38801422041646
1068,699.0,574.0,1273.0,45.09033778476041,54.9096622152396
1069,198.0,181.0,379.0,47.75725593667546,52.242744063324544
1070,412.0,191.0,603.0,31.674958540630183,68.32504145936981
1071,777.0,417.0,1194.0,34.92462311557789,65.07537688442211
1072,879.0,339.0,1218.0,27.832512315270936,72.16748768472905
1073,1398.0,1024.0,2422.0,42.27910817506193,57.72089182493807
1074,6.0,5.0,11.0,45.45454545454545,54.54545454545454
1075,818.0,315.0,1133.0,27.802294792586054,72.19770520741395
1076,1150.0,613.0,1763.0,34.77027793533749,65.22972206466251
1077,696.0,221.0,917.0,24.10032715376227,75.89967284623773
1078,209.0,61.0,270.0,22.59259259259259,77.4074074074074
1079,1144.0,546.0,1690.0,32.30769230769231,67.6923076923077
1080,2114.0,819.0,2933.0,27.923627684964202,72.0763723150358
1081,525.0,759.0,1284.0,59.112149532710276,40.887850467289724
1082,1811.0,967.0,2778.0,34.80921526277898,65.19078473722102
1083,1171.0,702.0,1873.0,37.47997864388681,62.52002135611319
1084,756.0,317.0,1073.0,29.54333643988816,70.45666356011183
1085,632.0,270.0,902.0,29.933481152993345,70.06651884700665
1086,1008.0,470.0,1478.0,31.799729364005415,68.20027063599458
1087,629.0,250.0,879.0,28.441410693970422,71.55858930602957
1088,351.0,115.0,466.0,24.678111587982833,75.32188841201717
1089,613.0,459.0,1072.0,42.81716417910448,57.18283582089553
1090,0.0,0.0,0.0,,
1091,967.0,450.0,1417.0,31.75723359209598,68.24276640790401
1092,419.0,211.0,630.0,33.49206349206349,66.5079365079365
1093,527.0,293.0,820.0,35.731707317073166,64.26829268292683
1094,988.0,560.0,1548.0,36.17571059431525,63.82428940568475
1095,94.0,72.0,166.0,43.373493975903614,56.62650602409639
1096,58.0,15.0,73.0,20.54794520547945,79.45205479452055
1097,288.0,125.0,413.0,30.26634382566586,69.73365617433413
1098,387.0,84.0,471.0,17.8343949044586,82.16560509554141
1099,1294.0,673.0,1967.0,34.21453990849009,65.78546009150992
1100,1202.0,660.0,1862.0,35.44575725026853,64.55424274973147
1101,0.0,0.0,0.0,,
1102,287.0,324.0,611.0,53.0278232405892,46.9721767594108
1103,287.0,274.0,561.0,48.84135472370767,51.15864527629233
1104,1368.0,800.0,2168.0,36.90036900369004,63.09963099630996
1105,260.0,157.0,417.0,37.64988009592326,62.35011990407674
1106,0.0,0.0,0.0,,
1107,939.0,781.0,1720.0,45.406976744186046,54.593023255813954
1108,1896.0,1340.0,3236.0,41.409147095179236,58.590852904820764
1109,0.0,3.0,3.0,100.0,0.0
1110,1232.0,729.0,1961.0,37.17491075981642,62.82508924018359
1111,2197.0,1299.0,3496.0,37.15675057208238,62.84324942791763
1112,2051.0,906.0,2957.0,30.639161312140683,69.36083868785931
1113,1270.0,684.0,1954.0,35.00511770726714,64.99488229273285
1114,23.0,18.0,41.0,43.90243902439025,56.09756097560976
1115,59.0,54.0,113.0,47.78761061946903,52.21238938053098
1116,510.0,442.0,952.0,46.42857142857143,53.57142857142857
1117,122.0,78.0,200.0,39.0,61.0
1118,1734.0,1463.0,3197.0,45.761651548326554,54.238348451673446
1119,56.0,19.0,75.0,25.333333333333336,74.66666666666667
1120,70.0,17.0,87.0,19.54022988505747,80.45977011494253
1121,1492.0,925.0,2417.0,38.270583367811334,61.72941663218866
1122,2051.0,1489.0,3540.0,42.06214689265536,57.93785310734463
1123,167.0,182.0,349.0,52.14899713467048,47.85100286532951
1124,264.0,191.0,455.0,41.97802197802198,58.02197802197803
1125,874.0,671.0,1545.0,43.43042071197411,56.56957928802589
1126,0.0,0.0,0.0,,
1127,210.0,83.0,293.0,28.327645051194537,71.67235494880546
1128,604.0,400.0,1004.0,39.8406374501992,60.1593625498008
1129,1066.0,654.0,1720.0,38.02325581395349,61.9767441860465
1130,0.0,0.0,0.0,,
1131,0.0,0.0,0.0,,
1132,2.0,0.0,2.0,0.0,100.0
1133,0.0,2.0,2.0,100.0,0.0
1134,0.0,0.0,0.0,,
1135,0.0,0.0,0.0,,
1136,40.0,27.0,67.0,40.298507462686565,59.70149253731343
1137,0.0,0.0,0.0,,
1138,371.0,155.0,526.0,29.467680608365022,70.53231939163499
1139,434.0,193.0,627.0,30.78149920255183,69.21850079744817
1140,494.0,314.0,808.0,38.86138613861386,61.13861386138614
1141,951.0,664.0,1615.0,41.11455108359133,58.88544891640867
1142,870.0,402.0,1272.0,31.60377358490566,68.39622641509435
1143,1401.0,1031.0,2432.0,42.39309210526316,57.60690789473685
1144,955.0,1300.0,2255.0,57.64966740576497,42.350332594235034
1145,250.0,293.0,543.0,53.95948434622467,46.04051565377532
1146,51.0,56.0,107.0,52.336448598130836,47.66355140186916
1147,1108.0,612.0,1720.0,35.581395348837205,64.4186046511628
1148,340.0,193.0,533.0,36.210131332082554,63.789868667917446
1149,978.0,493.0,1471.0,33.51461590754589,66.48538409245411
1150,1043.0,688.0,1731.0,39.74581166955517,60.254188330444826
1151,999.0,701.0,1700.0,41.23529411764706,58.76470588235294
2001,283.0,76.0,359.0,21.16991643454039,78.8300835654596
2002,480.0,145.0,625.0,23.200000000000003,76.8
2003,731.0,198.0,929.0,21.31324004305705,78.68675995694295
2004,1072.0,296.0,1368.0,21.637426900584796,78.3625730994152
2005,471.0,127.0,598.0,21.237458193979933,78.76254180602007
2006,9.0,2.0,11.0,18.181818181818183,81.81818181818183
2007,617.0,188.0,805.0,23.354037267080745,76.64596273291926
2008,412.0,132.0,544.0,24.264705882352942,75.73529411764706
2009,888.0,316.0,1204.0,26.245847176079735,73.75415282392026
2010,533.0,322.0,855.0,37.6608187134503,62.3391812865497
2011,734.0,194.0,928.0,20.905172413793103,79.09482758620689
2012,542.0,153.0,695.0,22.014388489208635,77.98561151079136
2013,518.0,149.0,667.0,22.338830584707647,77.66116941529235
2014,502.0,172.0,674.0,25.519287833827892,74.4807121661721
2015,640.0,186.0,826.0,22.518159806295397,77.4818401937046
2016,459.0,91.0,550.0,16.545454545454547,83.45454545454545
2017,364.0,101.0,465.0,21.72043010752688,78.27956989247312
2018,559.0,168.0,727.0,23.108665749656122,76.89133425034387
2019,645.0,156.0,801.0,19.475655430711612,80.52434456928839
2020,1073.0,240.0,1313.0,18.27875095201828,81.72124904798173
2021,1049.0,305.0,1354.0,22.525849335302805,77.47415066469719
2022,581.0,169.0,750.0,22.53333333333333,77.46666666666667
2023,1110.0,330.0,1440.0,22.916666666666664,77.08333333333334
2024,703.0,289.0,992.0,29.133064516129032,70.86693548387096
2025,1172.0,382.0,1554.0,24.581724581724583,75.41827541827541
2026,1011.0,451.0,1462.0,30.848153214774282,69.15184678522573
2027,602.0,272.0,874.0,31.12128146453089,68.8787185354691
2028,1104.0,450.0,1554.0,28.957528957528954,71.04247104247105
2029,418.0,123.0,541.0,22.73567467652495,77.26432532347505
2030,548.0,150.0,698.0,21.48997134670487,78.51002865329512
2031,563.0,144.0,707.0,20.367751060820368,79.63224893917963
2032,227.0,66.0,293.0,22.525597269624573,77.47440273037543
2033,275.0,78.0,353.0,22.096317280453256,77.90368271954674
2034,282.0,92.0,374.0,24.598930481283425,75.40106951871658
2035,773.0,220.0,993.0,22.15508559919436,77.84491440080565
2036,894.0,357.0,1251.0,28.53717026378897,71.46282973621103
2037,572.0,520.0,1092.0,47.61904761904761,52.38095238095239
2038,598.0,335.0,933.0,35.90568060021436,64.09431939978563
2039,727.0,173.0,900.0,19.22222222222222,80.77777777777779
2040,1029.0,435.0,1464.0,29.713114754098363,70.28688524590164
2041,1196.0,457.0,1653.0,27.64670296430732,72.35329703569268
2042,658.0,204.0,862.0,23.665893271461716,76.33410672853829
2043,794.0,260.0,1054.0,24.667931688804554,75.33206831119544
2044,808.0,288.0,1096.0,26.277372262773724,73.72262773722628
2045,1133.0,289.0,1422.0,20.323488045007032,79.67651195499298
2046,1084.0,408.0,1492.0,27.34584450402145,72.65415549597856
2047,816.0,299.0,1115.0,26.81614349775785,73.18385650224215
2048,706.0,226.0,932.0,24.248927038626608,75.7510729613734
2049,1220.0,488.0,1708.0,28.57142857142857,71.42857142857143
2050,825.0,346.0,1171.0,29.54739538855679,70.45260461144322
2051,302.0,106.0,408.0,25.98039215686275,74.01960784313727
2052,371.0,153.0,524.0,29.198473282442748,70.80152671755725
2053,545.0,156.0,701.0,22.25392296718973,77.74607703281026
2054,1038.0,261.0,1299.0,20.092378752886837,79.90762124711316
2055,877.0,243.0,1120.0,21.696428571428573,78.30357142857143
2056,603.0,233.0,836.0,27.870813397129186,72.1291866028708
2057,896.0,304.0,1200.0,25.333333333333336,74.66666666666667
2058,888.0,359.0,1247.0,28.789093825180434,71.21090617481957
2059,903.0,362.0,1265.0,28.616600790513836,71.38339920948617
2060,638.0,243.0,881.0,27.582292849035188,72.41770715096482
2061,499.0,275.0,774.0,35.5297157622739,64.47028423772609
2062,536.0,271.0,807.0,33.581164807930605,66.4188351920694
2063,636.0,902.0,1538.0,58.647594278283485,41.352405721716515
2064,994.0,541.0,1535.0,35.2442996742671,64.7557003257329
2065,2173.0,1201.0,3374.0,35.595732068761116,64.40426793123889
